timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,bytes_transferred,duration,packet_size_avg,packets_per_second,bytes_per_second,tcp_flags,service,label,src_ip_malicious,dst_ip_malicious,src_country,dst_country,src_ip_reputation,anomaly_score
2025-09-28T08:59:34.611152,192.168.10.16,10.0.10.218,44741,53,TCP,37,33152,23.47993378057679,896,1.5758136435038568,1411.9290245794557,ACK,DNS,Normal,False,False,AU,US,0.9024457321780548,0.09652506728950196
2025-09-24T21:25:00.611193,192.168.3.96,10.0.2.244,56313,443,UDP,171,121752,231.2141707418983,712,0.7395740470893772,526.5767215276366,PSH,HTTPS,Normal,False,False,CN,US,0.8814248143469039,0.11617950308391108
2025-09-23T23:50:40.611203,192.168.4.30,10.0.7.209,55904,25,UDP,164,61172,215.70318403201614,373,0.7603040295207604,283.5934030112436,RST,SMTP,Normal,False,False,AU,US,0.8581719818952516,0.05693716236982246
2025-09-27T17:32:17.611210,192.168.4.56,10.0.7.149,62549,53,TCP,160,38400,272.0812883515404,240,0.5880595500315086,141.13429200756207,ACK,DNS,Normal,False,False,DE,US,0.7553834535231599,0.0551855966370287
2025-09-26T14:08:36.611216,192.168.8.147,10.0.9.229,19268,443,ICMP,61,60878,157.9924123548314,998,0.38609449081011277,385.3223018284925,PSH,HTTPS,Normal,False,False,DE,US,0.8565120956334576,0.17097214776380007
2025-09-26T03:45:48.611222,192.168.8.97,10.0.2.169,43264,53,TCP,90,110880,260.69593370114507,1232,0.3452297806193388,425.32308972302536,FIN,DNS,Normal,False,False,CN,US,0.9947886393335167,0.21409008183409708
2025-09-26T00:55:58.611228,192.168.7.32,10.0.2.92,1965,53,ICMP,155,111445,84.62177268848178,719,1.8316798983944906,1316.9778469456387,SYN,DNS,Normal,False,False,IR,US,0.9069772640421161,0.20653778896424185
2025-09-26T19:57:17.611232,192.168.9.206,10.0.7.180,25129,443,ICMP,171,192375,250.49321799046234,1125,0.6826532126171612,767.9848641943064,FIN,HTTPS,Normal,False,False,CN,US,0.8190876578198433,0.2566992633564274
2025-09-30T10:31:58.611237,192.168.3.38,10.0.6.222,63535,80,UDP,100,75600,110.11293620436852,756,0.9081585093181149,686.5678330444948,ACK,HTTP,Normal,False,False,RU,US,0.8251235741058792,0.2275560450745098
2025-09-30T10:39:56.611242,192.168.8.40,10.0.8.37,5479,80,ICMP,44,46552,251.41260207008781,1058,0.17501111574245531,185.16176045551774,RST,HTTP,Normal,False,False,KP,US,0.9058981177897296,0.19016390367205174
2025-09-30T07:45:15.611247,192.168.4.198,10.0.5.243,50782,110,ICMP,55,38445,240.98359650528673,699,0.22823130203716335,159.53368012397718,RST,POP3,Normal,False,False,CN,US,0.8008476177436672,0.011545031480484679
2025-09-25T19:35:58.611252,192.168.1.4,10.0.2.130,43028,443,UDP,2559,245664,3.3983592631201924,96,753.0104388228991,72289.00212699831,PSH,HTTPS,DDoS,False,False,IR,US,0.9349567710315223,0.9872717353944663
2025-09-27T19:55:51.611260,192.168.7.91,10.0.2.35,5258,80,UDP,164,15088,85.19203839115544,92,1.9250625187180208,177.1057517220579,PSH,HTTP,Normal,False,False,KP,US,0.7428031434987019,0.10096333291041269
2025-09-25T12:22:23.611265,192.168.1.196,10.0.6.46,59956,25,TCP,158,210772,100.56956541760394,1334,1.5710518320718854,2095.783143983895,RST,SMTP,Normal,False,False,CN,US,0.954187210995337,0.20331856538569185
2025-09-25T06:17:30.611270,192.168.4.164,10.0.7.51,63065,25,UDP,79,39263,196.35165889697825,497,0.4023393560502064,199.96265995695256,PSH,SMTP,Normal,False,False,CN,US,0.943633191973527,0.14606613614449868
2025-09-24T11:59:30.611274,203.0.113.88,10.0.3.152,24898,5432,ICMP,717,688320,3.362457940395879,960,213.23686800245417,204707.393282356,SYN,PostgreSQL,Web Attack,False,False,KP,US,0.776280463155686,0.8094841814246863
2025-09-28T11:46:17.611281,91.209.217,10.0.5.199,9722,53,UDP,419,245953,57.73195510704065,587,7.2576790310172825,4260.257591207144,FIN,DNS,Botnet,True,False,AU,US,0.27749400783772854,0.902843205594019
2025-09-28T06:07:38.611294,192.168.5.239,10.0.6.215,5256,443,UDP,200,269200,53.553592896060636,1346,3.734576695688178,5026.740232396287,SYN,HTTPS,Normal,False,False,CN,US,0.9728955964731255,0.11553423968805139
2025-09-24T19:17:23.611300,77.72.178,10.0.3.197,65510,25,ICMP,212,279204,49.89329278158225,1317,4.249068124809319,5596.022720373873,ACK,SMTP,Data Exfiltration,False,False,DE,US,0.838179291903484,0.924341368363564
2025-09-26T00:31:20.611307,192.168.8.17,10.0.8.227,49127,110,ICMP,91,77168,3.5907320461996757,848,25.343021653846797,21490.882362462085,FIN,POP3,Normal,False,False,FR,US,0.8599604881567559,0.20902438780903057
2025-09-27T19:05:04.611311,192.168.4.62,10.0.1.178,55610,110,TCP,62,79050,24.027683964442325,1275,2.580356895477379,3289.955041733658,ACK,POP3,Normal,False,False,DE,US,0.7893393924767104,0.038115082731527826
2025-09-27T19:04:39.611316,192.168.3.248,10.0.2.52,56790,25,TCP,153,38250,53.72688425467796,250,2.8477363264682225,711.9340816170557,ACK,SMTP,Normal,False,False,FR,US,0.8653756029594248,0.02897263641746458
2025-09-25T18:21:52.611321,192.168.2.53,10.0.8.147,17853,25,ICMP,14,17416,69.72968515618224,1244,0.20077532214067023,249.76450074299376,RST,SMTP,Normal,False,False,KP,US,0.9071337360000471,0.04336393279200774
2025-09-27T04:08:06.611326,192.168.3.9,10.0.6.72,20251,25,ICMP,12,768,158.6832822040038,64,0.07562233294729029,4.8398293086265785,FIN,SMTP,Normal,False,False,CA,US,0.9566163039326203,0.09586856430898433
